country,director,genre,rating,title,year
США,Эгберт Варндеринк Суокхэймер,"супергероика, боевик",5.2,Человек-паук,14 сентября 1977
США,Дональд Ф. Глат,"супергеройский, боевик",5.6,Человек-паук,1969
США,Уильям Бодайн,"фантастика, ужасы",4.4,Человек-обезьяна,1943
США,Сэм Рэйми,"супергероика, боевик, научная фантастика, драма",7.5,Человек-паук 2,2004
СССР,Александр Захаров,фантастика,6.0,Человек-невидимка,1984
США,Джеймс Уэйл,фильм ужасов,7.6,Человек-невидимка,1933
,Брайан Лайтхилл,Научная фантастика,7.0,Человек-невидимка,1984
США,Пейтон Рид,"супергероика, боевик, научная фантастика",6.0,Человек-муравей и Оса: Квантомания,2023
США,Марк Пеллингтон,"мистика, триллер",6.4,Человек-мотылёк,2002
США,Пейтон Рид,"супергероика, боевик, научная фантастика",7.0,Человек-муравей и Оса,2018
США,Пейтон Рид,"супергероика, боевик, научная фантастика, комедия, фильм-ограбление",7.2,Человек-муравей,2015
США,Стивен Лови,"приключения, комедия, киберпанк",4.7,Человек-микросхема,1990
США,Стэнли Шефф,"комедия, фильм ужасов, фантастика",5.3,Человек-краб с Марса,1989
США,Жак Турнье,"Фильм ужасов, Нуар",6.7,Человек-леопард,1943
"Великобритания, США, Австралия",Джон Хьюстон,триллер,6.3,Человек-макинтош,25 июля 1973 1 1973 1 26 октября 1973 1 8 ноября 1973 1 9 ноября 1973 1 16 ноября 1973 1 19 ноября 1973 1 16 января 1974 1 9 февраля 1974 1 27 февраля 1974 1 1974 1 17 апреля 1974 1 12 сентября 1974 1 10 октября 1974 1
США,Роджер Доналдсон,комедия,5.7,Человек-кадиллак,1990
США,Тибор Такач,"фильм ужасов, научно-фантастический фильм",3.7,Человек-комар,2005
Флаг США,Аллан А. Голдштейн,фильм ужасов,2.9,Человек-змея,2005
США,Вернер Херцог,"документальный, фильм-биография",7.8,Человек-гризли,2005
Флаг США,Майкл Обловитц,"фильм ужасов, фильм о монстрах, боевик, научно-фантастический фильм",3.1,Человек-акула,11 октября 2005
Франция,Жан Ренуар,драма,7.5,Человек-зверь,1938
США,Джерри Уоррен,"ужасы, научная фантастика, приключение",4.2,Человек-зверь,1956
СССР,Михаил Ромм,"драма, военный фильм",6.9,Человек № 217,1944
США,Пенни Маршалл,комедия,6.2,Человек эпохи Возрождения,1994
США,Пол Шредер,"триллер, криминал, чёрный юмор",4.8,Человек человеку волк,2016
РСФСР,Чеслав Сабинский,"драма, мелодрама",,Человек-зверь,1917
США,Брэдфорд Мэй,"Триллер, Фильм ужасов, Боевик",4.7,"Человек тьмы 3: Умри, Человек тьмы!",1996
США,Сэм Рэйми,"боевик, детектив, фантастика, триллер",6.4,Человек тьмы,1990
СССР,Али Хамраев,"драма, притча, легенда",7.1,Человек уходит за птицами,1975
Испания,Альберто Родригес,"триллер, биография",6.8,Человек с тысячью лиц,2016
Россия,Дмитрий Месхиев,"трагикомедия, драма",6.8,Человек у окна,2009
США,Джон Карпентер,фантастика,7.0,Человек со звезды,1984
США,Сесил Б. ДеМилль,драматический фильм,6.6,Человек с родины,1914
США,Брэдфорд Мэй,"боевик, детектив, фильм ужасов, фантастика, триллер",5.1,Человек тьмы 2: Возвращение Дюранта,1995
Франция,Жорж Мельес,фантастика,7.1,Человек с резиновой головой,1901
США,"Роджер Корман, 1","научно-фантастический фильм, фильм ужасов",6.6,Человек с рентгеновскими глазами,1963
СССР,Андрис Розенбергс,"драма, экранизация",6.4,Человек свиты,1987
СССР,Сергей Юткевич,историко-революционный,6.3,Человек с ружьём,1938
США,Сесил Блаунт де Милль,вестерн,6.8,Человек с равнины,1936
Канада,Дэвид Уайлс,"боевик, драма, триллер",4.8,Человек с пистолетом,1995
"Франция, Великобритания, Германия, Япония",Патрис Леконт,"криминальный фильм, драма, триллер",7.1,Человек с поезда,2002
США,Адам Шенкман,комедийный боевик,,Человек с мешком,
СССР,Дзига Вертов,документальный фильм,8.3,Человек с киноаппаратом,1929
Польша,Леон Жанно,комедия,6.9,Человек с ордером на квартиру,1969
США,Эдвард Монтань,Фильм нуар,6.0,Человек с моим лицом,1951
Великобритания,Альфред Хичкок,драма,6.2,Человек с острова Мэн,1929
США,Отто Премингер,драма,7.3,Человек с золотой рукой,1955
Великобритания,Гай Хэмилтон,"боевик, приключенческий фильм, триллер",6.7,Человек с золотым пистолетом,1974
США,Фред Брэннон,научная фантастика,5.3,Человек с марсианского летающего диска,1950
США,Ричард Шенкман,"фантастика, драма",7.8,Человек с Земли,2007
Королевство Италия,Роберто Росселлини,"военная, драма",5.3,Человек с крестом,1943
США,Уильям Уайлер,вестерн,7.3,Человек с Запада,20 сентября 1940
США,Джордж Николс,Драма,,Человек с железным сердцем,1915
США,Энтони Манн,вестерн,7.0,Человек с Запада,1958
"СССР, Швеция",Юрий Егоров,"драма, исторический, приключенческий фильм",6.0,Человек с другой стороны,1970
Россия,Алла Сурикова,комедия,1.5,Человек с бульвара Капуцинок,2009
Италия,Умберто Ленци,"ужасы, каннибалах, приключения",5.3,Человек с глубокой реки,1972
СССР,Николай Розанцев,Киноповесть,5.7,Человек с будущим,1960
СССР,Алла Сурикова,"музыкальная, комедия, красный вестерн",7.6,Человек с бульвара Капуцинов,1987
США,Эрик Норрис,"боевик, триллер",4.7,Человек президента,2000
СССР,Василий Ордынский,мелодрама,7.1,Человек родился,1956
СССР,Николай Досталь,"драма, военный фильм",5.7,Человек с аккордеоном,1985
США,Альберт Пьюн,фантастика,4.1,Человек против киборга,1994
США,Джон Уайднер,боевик,4.6,Человек полуночи,1994
Чехословакия,Олдржих Липский,"фантастическая, комедия",6.0,Человек первого века,1962
Россия,Ренат Давлетьяров,,5.1,Человек ниоткуда,2023
США,Чарльз Хейд,драма,5.7,Человек ночи,1992
США,Эллиот Силверштейн,вестерн,6.8,Человек по имени Лошадь,1970
Гонконг,Ло Вэй,"боевик, приключенческий фильм",6.1,Человек по имени Тигр,1973
СССР,Эльдар Рязанов,"комедия, фантастика",6.3,Человек ниоткуда,1961
США,Борис Сагал,"фантастика, постапокалиптика, приключенческий фильм",6.4,Человек Омега,1971
США,Роджер Дональдсон,боевик,6.3,Человек ноября,2014
"Франция, Италия","Пьер Шеналь, Christian Stengel","комедийный фильм, драматический фильм",6.8,Человек ниоткуда,1937 18 февраля 1937
СССР,Иосиф Шульман,Военная киноповесть,5.4,Человек не сдаётся,1960
Югославия,Душан Макавеев,"драма, мелодрама",7.2,Человек — не птица,1965
США,Грэм Кэмпбелл,"драма, мелодрама",5.8,Человек на чердаке,1994
Италия,Витторио Де Сета,драма,7.1,Человек наполовину,1966
США,Уго Фрегонезе,Фильм нуар,6.1,Человек на чердаке,1953
СССР,Василий Панин,,6.3,Человек на полустанке,1983
СССР,Алексей Сахаров,драма,6.7,Человек на своём месте,1972
Канада,Дэмьен Ли,боевик,5.1,Человек на ринге,1987
Польша,Анджей Мунк,драма,7.6,Человек на рельсах,1956
СССР,Кямиль Рустамбеков,драма,,Человек и цепи,"
1964"
"Великобритания, США",Джеймс Марш,Документальный,7.7,Человек на канате,22 января 2008 14 мая 2009 1 22 января 2009 2 1 августа 2008 3 29 августа 2008 3
США,Роберт Маллиган,"драма, история взросления",7.3,Человек на Луне,1991
"Великобритания, Германия, Япония, США",Милош Форман,"комедийная драма, фильм-биография",7.4,Человек на Луне,1999
Великобритания,Фред Циннеман,драма,7.7,Человек на все времена,1966
Италия,Дамиано Дамиани,"триллер, драма",7.2,Человек на коленях,1979
США,Дэмьен Шазелл,"биографическая, драма",7.3,Человек на Луне,2018
Египет,Магда,мелодрама,7.1,Человек моего сердца,1966
"Бельгия, 1","Реми Бельво, Андре Бонзель, Бенуа Пульворд","комедия, криминальный фильм, драма, нуар",7.4,Человек кусает собаку,1992
СССР,"Лукьянов, Николай Валентинович",драматический фильм,7.2,Человек из чёрной «Волги»,1990
США,Патрик Хьюз,"боевик, комедия",5.8,Человек из Торонто,2022
"СССР, Таджикская ССР",Рафаил Перельштейн,драма,5.5,Человек меняет кожу,1959
США,Элиа Казан,"антикоммунистический, драма",7.2,Человек на канате,1953
"Франция, Италия",Филипп де Брока,"приключенческий фильм, кинокомедия",7.0,Человек из Рио,1964
Гонконг,Алекс Чён,"криминальный фильм, драма",6.9,Человек на грани,1981
СССР,"Семён Долидзе, Кети Долидзе",Притча,6.5,Человек ли он?,1979
"США, Канада, Великобритания",Зак Снайдер,"супергероика, боевик, научная фантастика, приключения",7.1,Человек из стали,2013
СССР,Тамара Павлюченко,драма,7.1,Человек из страны Грин,1983
США,Клинт Иствуд,"драматический фильм, комедийный фильм",6.6,Человек из притона,1982 27 февраля 1986 1
Россия,Семён Серзин,"комедия, драма",6.8,Человек из Подольска,2020
Республика Корея,Ли Чон Бом,"боевик, триллер",7.7,Человек из ниоткуда,2010
СССР,Яков Протазанов,мелодрама,7.0,Человек из ресторана,1927
США,Марк Стаффер,драма,5.4,Человек из леса,1985
Польша,Анджей Вайда,драма,7.7,Человек из мрамора,1977
СССР,Григорий Рошаль,Драма,,Человек из местечка,1930
США,Лесли Фентон,"вестерн, экранизация",5.6,Человек из Дакоты,1940
"Гонконг, Австралия","Брайан Тренчард-Смит, Джимми Ван Юй","боевик, драма, приключенческий фильм",6.6,Человек из Гонконга,1975
Польша,Анджей Вайда,"драма, исторический фильм",7.3,Человек из железа,1981
"Гонконг, Китай",Моу Дуньфэй,"исторический фильм, фильм ужасов",6.1,Человек за солнцем,1988
"Венгрия, Франция, Германия","Бела Тарр, Агнеш Храницки",драма,7.0,Человек из Лондона,2007
Гонконг,"Чжан Чэ, Пао Сюэли","боевик, драма",6.3,Человек из железа,1972
"Франция, Италия",Франсис Юстер,драма,5.8,Человек и его собака,2008
США,Бадд Беттикер,"драма, вестерн",6.4,Человек из Аламо,7 августа 1953 1
,Ханна Полак,документальный фильм,7.6,Человек живёт для лучшего,2014
США,Барри Левинсон,комедия,6.2,Человек года,2006
СССР,Михаил Калик,детский фильм,7.6,Человек идёт за солнцем,1961
США,Барри Левинсон,"драматический фильм, комедийная драма, бадди-муви",8.0,Человек дождя,1988
США,Артур Хиллер,драма,7.0,Человек в стеклянной будке,1975
СССР,Исидор Анненский,комедия,7.3,«Человек в футляре»,1939
США,Наннэлли Джонсон,"драма, военный",7.1,Человек в сером фланелевом костюме,1956
США,Майкл Кёртис,Фильм нуар,6.1,Человек в сети,1959
Великобритания,"Джон Пол Дэвидсон, Стивен Уорбек","роуд-муви, комедия",6.5,Человек в шляпе,2020
СССР,Борис Кантемиров,"спортивно, драматическо, мелодраматический, боевик",5.8,Человек в зелёном кимоно,1991
СССР,Николай Экк,"биография, драма",,Человек в зелёной перчатке,1967
СССР,Василий Журавлёв,военный,5.9,Человек в штатском,1973
США,Кори Аллен,"фэнтези, драма",6.5,Человек в костюме Санта Клауса,1979
"Италия, Испания",Glauco Pellegrini,мелодрама,6.9,Человек в коротких штанишках,1957
СССР,Марк Орлов,Детектив,6.5,Человек в проходном дворе,1971
США,Рэндалл Уоллес,"боевик, приключения, драма, исторический фильм",6.5,Человек в железной маске,1998
"СССР, Азербайджанская ССР",Ариф Бабаев,драма,6.7,Человек бросает якорь,1967
"США, Великобритания",Майк Ньюэлл,приключения,6.6,Человек в железной маске,17 января 1977
Великобритания,Александр Маккендрик,"комедия, фантастика",7.2,Человек в белом костюме,7 августа 1951 1 10 августа 1951 2 31 марта 1952 2
США,Джеймс Уэйл,"приключения, Экранизация",7.0,Человек в железной маске,1939
Греция,Елена Попович,"драма, фильм-биография",7.0,Человек Божий,2021
Россия,"Екатерина Гроховская, Пётр Стёпин",драма,6.9,Человек безвозвратный,2006
США,Гарри Келлер,Фильм нуар,6.2,Человек боится,1957
США,Стэн Дрэготи,комедия,5.7,«Человек в одном красном ботинке»,1985
Франция,Ян Артюс-Бертран,документальный,8.6,Человек,"
12 сентября 2015"
СССР,Анатолий Бобровский,приключения,6.4,Человек без паспорта,1966
США,Джон Марингин,документальный,7.3,Человек Большой реки,2009
США,Мел Гибсон,драма,6.7,Человек без лица,1993
Россия,Николай Рыбников,криминальный фильм,5.0,Чекаго,2022
Финляндия,Аки Каурисмяки,"драма, комедия, криминальный фильм",7.6,Человек без прошлого,2002
СССР,Фёдор Филиппов,"драма, экранизация",,Челкаш,1956
США,"Дэниел Шайнерт, Дэниел Кван",трагикомедия,6.9,Человек — швейцарский нож,2016
США,Дэнни Гордон,комедия,5.8,Чего хочет девушка,2003
"США, Великобритания",Джеймс Хоуз,драма,7.2,Челленджер,12 мая 2013
Россия,Александр Бородянский,"боевик, криминальный фильм, приключенческий фильм, комедия",4.4,Чек,2000
"Россия, Франция",Александр Рогожкин,драма,7.0,Чекист,1992
США,Нэнси Мейерс,"эксцентрическая комедия, комедия, мелодрама",6.5,Чего хотят женщины?,2000
Австралия,Кевин Даулинг,"драма, комедия",7.3,Чего мы стоим в жизни,1994
США,Кирк Джонс,"комедия, драма",5.7,"Чего ждать, когда ждёшь ребёнка",2012
СССР,Александр Светлов,"Детектив, комедия",6.9,Чегемский детектив,1986
Россия,Дмитрий Дьяченко,"комедия, семейный",5.8,Чебурашка,2022
Россия,Дмитрий Дьяченко,"комедия, семейный",,Чебурашка 2,"
2025-2026"
СССР,Николай Шпиковский,сатирическая комедия,,Чашка чая,1927
США,Мик Джексон,драма,6.3,Чаттахучи,1989
"Аргентина, США, Германия, Бразилия, Великобритания, Чили, Перу, Франция",Вальтер Саллес,"биографический, приключения, драма",7.7,Дневники мотоциклиста,2004
США,Ричард Флейшер,"драма, биография",4.8,Че!,1969
Иран,Ибрахим Хатами Кийа,"драма, биография, война",6.0,Че,2014
СССР,Евгений Матвеев,мелодрама,6.1,Чаша терпения,1989
"Испания, Франция, США",Стивен Содерберг,нелинейное изложение,6.8,Че,2008
США,Майкл Чимино,триллер,5.4,Часы отчаяния,1990
США,Уильям Уайлер,триллер,7.5,Часы отчаяния,1955
США,Лэнс Катания,"фильм ужасов, триллер",4.4,Чаша моей крови,2005
СССР,"Янис Стрейч, Эрик Лацис",приключения,7.0,Часы капитана Энрико,1967
Россия,Владимир Наумов,"драма, детектив",4.1,Часы без стрелок,2001
СССР,Николай Фигуровский,"драма, военный",7.1,Часы остановились в полночь,1958
Флаг Польши,"Ян Рыбковский, Станислав Ружевич","военный, драма",5.9,Часы надежды,1955
"США, Великобритания",Стивен Долдри,психологическая драма,7.5,Часы,2002
Великобритания,Кристиан Марклей,видеоарт,8.9,Часы,2010
США,Сидни Пуатье,Криминальная комедия,6.4,Часть денег,1977
США,Кристофер Мюнх,драма,6.4,Часы и времена,1991
"Бельгия, Франция, Швейцария",Samuel Tilman,фильм-триллер,6.2,Часть тени,2017
Великобритания,Гаррет Кэррайвик,"фантастика, комедия",7.0,Часто задаваемые вопросы о путешествиях во времени,2009
США,"Эверетт Льюис, Джо Лия",драма,5.8,Часто задаваемые вопросы,2005
США,Джордж Бауэрс,комедия,5.2,Частный курорт,1985
СССР,Леонид Гайдай,"комедия, криминальный фильм, детектив",5.3,"Частный детектив, или Операция «Кооперация»",1990
"Франция, Бельгия","Жоаким Лафосс, 3, 4","драматический фильм, 3, ЛГБТ-фильм",6.2,Частные уроки,19 мая 2008 1 21 января 2010 2
Россия,Виталий Манский,документальный фильм,7.2,Частные хроники. Монолог,1999
Франция,Филипп Лабро,"детектив, триллер",6.5,Частный детектив,1976
СССР,Александр Прошкин,детективный фильм,6.6,Частное лицо,1980
США,Алан Майерсон,кинокомедия,5.1,Частные уроки,1981
"Флаг Италии, Флаг Югославии (1945—1991)",Миклош Янчо,"драма, исторический фильм",5.6,"Частные пороки, общественные добродетели",1976
Гонконг,Майкл Хёй,комедия,7.0,Частные детективы,1976
Великобритания,Билли Уайлдер,"комедия, приключения, мелодрама",7.0,Частная жизнь Шерлока Холмса,1970
СССР,Александр Мачерет,молодёжная лирическая комедия,6.7,Частная жизнь Петра Виноградова,1934
США,Джоан Сильвер,драма,6.2,Частное дело,1992
США,Ноэль Блэк,комедия,5.3,Частная школа,1983 18 ноября 1983 2
США,"Рэдли Мецгер, 1",порнофильм,6.4,Частная жизнь Памелы Манн,26 декабря 1974
США,Ребекка Миллер,"драма, мелодрама",6.3,Личная жизнь Пиппы Ли,2009
США,"Майя Дерен, Александр Хакеншмид",документальный фильм,7.2,Частная жизнь кота,1944
США,Майкл Кёртис,"мелодрама, исторический фильм, фильм-биография",7.0,Частная жизнь Елизаветы и Эссекса,1939
США,Александр Корда,кинокомедия,5.8,Частная жизнь Елены Троянской,1927
Великобритания,Александр Корда,"фильм-биография, комедия, драма, исторический фильм",7.0,Частная жизнь Генриха VIII,1933
США,Тамара Дженкинс,комедийная драма,7.2,Частная жизнь,2018
Великобритания,"Александр Корда, 1","драматический фильм, 1, романтический фильм, 1",6.3,Частная жизнь Дон Жуана,1934
СССР,Юлий Райзман,драма,7.0,Частная жизнь,1982
США,Альберт Пьюн,боевик,3.5,Часовой механизм,2001
Турция,Эрдем Тепегёз,драма,6.5,Частица,2012
СССР,Анатолий Степаненко,драма,5.2,Часовщик и курица,1989
США,Майкл Уиннер,"ужасы, триллер",6.3,Часовой,7 января 1977 2 11 февраля 1977 2 21 апреля 1977 2 12 мая 1977 2 16 мая 1977 2 31 мая 1977 2 10 июня 1977 2 11 июня 1977 2 7 июля 1977 2 13 июля 1977 2 16 февраля 1978 2 16 марта 1979 2 6 июня 1979 2 13 ноября 1979 2
Франция,Бертран Тавернье,"драма, детектив",7.1,Часовщик из Сен-Поля,1974
"США, Великобритания",Мэтт Хейнеман,"драма, военный, биография",6.7,Частная война,2019
"США, Канада",Джон Ву,"фантастика, боевик",6.3,Час расплаты,2003
США,Бетти Томас,комедия,6.9,Части тела,1997
США,Шимон Дотан,драма,4.7,Час блаженства,1991
СССР,Арунас Жебрюнас,"драма, история, мистика",4.4,Час полнолуния,1988
США,Айзек Итон,триллер,5.7,Час теней,2000
"Великобритания, Франция",Лесли Мегахи,"криминальный фильм, драма, исторический фильм",6.6,Час свиньи,1993
Япония,Масахито Касуга,документальный фильм,7.5,Чары гипотезы Пуанкаре,2007 1 2 3
Швеция,Ингмар Бергман,"драма, фильм ужасов",7.5,Час волка,1968
Индия,Раджив Мехра,комедийный фильм,6.5,Чары колдовские,1992
Россия,Марина Мигунова,драматический фильм,,Час,2014
Российская империя,Василий Гончаров,"Драма, короткометражка",,Чародейка,1909
Индия,Сатьяджит Рай,"драматический фильм, романтический фильм",8.1,Чарулата,1964
США,Чарльз Маркиз Уоррен,вестерн,5.6,Чарро!,1969
США,Сидни Олкотт,драма,,Чаровница,1925
Сербия,Урош Стоянович,"трагедия, комедия, фантастика, драма",6.8,Чарльстон для Огненки,30 января 2008 1
"Китай, Гонконг",Чэн Сяодун,"уся, фэнтези, драма",5.8,Чародей и белая змея,2011
США,Норман Фостер,"детективный фильм, комедийный фильм",7.2,Чарли Чан на Острове сокровищ,1939
СССР,Константин Бромберг,"комедия, сказка, мюзикл",7.1,Чародеи,1982
"Россия, Китай","Баста, Ден Крючков","комедия, криминал, фантастика",,Чайный пьяница,2008
США,Х. Брюс Хамберстоун,"Детективный фильм, Комедия",7.0,Чарли Чан на скачках,1936
США,Филлип Нойс,"криминальный, триллер",6.0,Чарли-Пуля,2023
США,Льюис Сейлер,"Детективный фильм, Комедия",7.1,Чарли Чан в Париже,1935
США,Юджин Форд,Детективный фильм,6.9,Чарли Чан в Лондоне,1934
Франция,Жан Ренуар,Танцевальный фильм,5.9,Чарльстон,1926
США,Х. Брюс Хамберстоун,"Детективный фильм, Комедия",7.0,Чарли Чан на Олимпийских играх,1937
США,Луис Кинг,"Детективный фильм, Фильм ужасов, Комедия",6.6,Чарли Чан в Египте,1935
Россия,Маргарита Терехова,драма,,Чайка,2004
"США, Великобритания, Австралия",Тим Бёртон,"музыкальная, фантастическая, комедия",6.7,Чарли и шоколадная фабрика,2005
США,Дон Сигел,"триллер, детектив, криминал",7.5,Чарли Вэррик,1973
США,Том Логан,фильм ужасов,4.6,Чарли приходит ночью,1990
Израиль,Боаз Дэвидсон,комедия,6.8,Чарли ва-Хеци,1974
Франция,Клод Бернар-Обер,"приключенческий фильм, военный фильм",5.9,Чарли Браво,1980
Великобритания,Альберт Финни,"комедия, драма",6.3,Чарли Бабблз,1967
США,Юджин Форд,Комедия,7.0,Чарли Чан на Бродвее,1937
США,Ральф Нельсон,"драма, фантастика",6.9,Чарли,1968
СССР,Владимир Петров,Агитация,6.0,Чапаев с нами,1941
Италия,Лина Вертмюллер,комедия,6.9,"Чао, профессор",1992
СССР,Александр Белинский,телевизионный балет,6.5,Чаплиниана,1987
Франция,Клод Берри,драма,7.3,"Чао, паяц",1983
США,Х. Брюс Хамберстоун,"Детектив, Комедия",7.1,Чарли Чан в опере,1936
США,Йен Тан,драма,6.6,Чао,2008
СССР,Братья Васильевы,"приключенческий фильм, исторический, драма, фильм-биография",7.0,Чапаев,1934
Российская империя,Петр Чардынин,Музыкальная драма,,Цыганские романсы,1914
"Италия, 1, 2, Франция, 3, 1, […], Швеция, 1, 2, Германия, 1, 2, Бразилия, 1, 2, США, 1, 2",Йонас Карпиньяно,драматический фильм,6.9,Чамбра,2017 5 апреля 2018
Беларусь,Андрей Голубев,военная киноповесть,6.0,Чаклун и Румба ,2007
"США, Великобритания, Япония, Франция, Италия",Ричард Аттенборо,"фильм-биография, драма, трагикомедия",7.5,Чаплин,1992
Индия,Яш Чопра,мелодрама,6.7,Чандни,1989
США,Деннис Дуган,"комедия, мелодрама",5.9,Чак и Ларри: Пожарная свадьба,2007
"Индия, 1, 2",Деболай Дей,фэнтези,3.9,Чандра Мукхи,1993
"США, 2, 3","Мериан К. Купер, Эрнест Шедзак","художественно-документальный фильм, приключенческий фильм",6.8,Чанг: Драма в глуши,27 апреля 1927 1
"США, Германия",Арье Позин,чёрная комедия,6.8,Чамскраббер,2005
Россия,Сергей Рамз,"Короткометражный фильм, драма",,Цугцванг,2017
СССР,Игорь Таланкин,"фильм-биография, исторический фильм, киноповесть",6.3,Чайковский,1969
Китай,Се Тянь,драма,8.2,Чайная,1982
США,Майкл Майер,"драма, 1",5.7,Чайка,2018
Россия,Алексей Анатольевич Навальный,документальный фильм,8.7,Чайка,2015
Гонконг,Куай Чихун,"боевик, криминальный фильм, драма",6.0,Чайная «Чэнцзи»,1974
"США, Япония",Дэниэл Манн,комедия,6.6,Чайная церемония,1956
Италия,Джорджо Кристаллини,"криминал, Eurocrime, драма, боевик",5.6,Чайки летают низко,1978
Франция,Луи Фейад,"короткометражный, комедия",5.8,Чай у консьержки,1907
"Великобритания, Италия",Франко Дзеффирелли,драматический фильм,6.9,Чай с Муссолини,1999
"Финляндия, Швеция",Мика Каурисмяки,комедия,6.1,Ча-Ча-Ча,1989
"Великобритания, США",Сидни Люмет,"драма, мелодрама, экранизация",6.6,Чайка,1968
США,Винсент Миннелли,драма,7.3,Чай и симпатия,1956
СССР,Юлий Карасик,драма,7.2,Чайка,1970
Китай,Чжан Имоу,"драма, комедия",7.5,Цю Цзюй обращается в суд,1992
"США, Италия, Великобритания, Франция",Азия Ардженто,драма,6.2,Цыпочки,2004
США,Том Брейди,комедия,5.6,Цыпочка,2002
СССР,Ольгерт Дункерс,молодёжный фильм,5.1,Цыплят по осени считают,1973
Франция,"Маржан Сатрапи, Винсент Паронно",драма,7.0,Цыплёнок с черносливом,2011
Франция,Клод Шаброль,"Криминальная, драма, Детектив",6.5,Цыплёнок под уксусом (Назойливый полицейский),1985
СССР,Виктор Ивченко,драма,7.1,Ч. П. — Чрезвычайное происшествие,1958
Россия,Евгений Шелякин,трагикомедия,6.3,Ч/Б,2014
СССР,Виктор Окунцов,"музыкальный фильм, оперетта, мелодрама",5.5,Цыганский барон,1988
Польша,Артур Твардыевич,"драма, мелодрама, экранизация",,Цыганка Аза,1926
СССР,Сергей Никоненко,Драма,6.1,Цыганское счастье,1981
Япония,Сэйдзюн Судзуки,психологическая драма,6.9,Цыганские напевы,1980
СССР,Григорий Кохан,Фильм-драма,7.1,Цыганка Аза,1987
"Франция, Италия",Жозе Джованни,драма,6.3,Цыган,1975
США,Лоренцо Ламас,боевик,3.8,ЦРУ: Операция «Алекса» 2,1993
США,Эмиль Ардолино,"фильм-биография, комедия, драма, музыкальный фильм",7.2,Цыганка,1993
СССР,Евгений Матвеев,киноповесть,6.5,Цыган,1967
"Австралия, Сингапур",Кимбл Рендалл,"фильм ужасов, триллер, фильм-катастрофа",5.2,Цунами 3D,2012
США,Джозеф Мерхи,боевик,4.3,ЦРУ: Операция «Алекса»,1992
Казахстан,Игорь Цай,"экшн, боевик, драма",,Цугцванг,2011
США,Филлип Рот,фантастика,4.6,Цифровой человек,1995
"Россия, Латвия",Алексей Учитель,"драма, роуд-муви",4.8,Цой,2020
Великобритания,Сидни Хайерс,"ужасы, детектив",6.0,Цирк ужасов,1960
СССР,Александр Бланк,мелодрама,7.1,Цыган,1980 1
Россия,Владимир Бортко,драма,6.7,"Цирк сгорел, и клоуны разбежались",1997
"Великобритания, ЮАР",Гэвин Худ,"криминал, драма",7.2,Цоци,2005
США,Труди Стайлер,комедийная драма,6.5,Цирк уродов,2017
Великобритания,Роберт Янг,фильм ужасов,6.3,Цирк вампиров,1972
СССР,Ольгерд Воронцов,комедия,4.4,«Цирк зажигает огни»,1972
США,Джошуа Вайгель,драма,7.7,Цирк бабочек,2009
США,Норман Джуисон,драма,7.2,Цинциннати Кид,1965 27 октября 1965 1
СССР,"Григорий Александров, Исидор Симков",комедия,6.6,«Цирк»,1936
США,Чарльз Чаплин,трагикомедия,8.1,Цирк,1928
СССР,Дмитрий Месхиев,трагикомедия,6.9,Циники,1991
США,Майкл Алмерейда,драма,3.7,Цимбелин,2014
Босния и Герцеговина,Данис Танович,"драма, военный",7.2,Цирк «Колумбия»,2010
США,Марк Сэндрич,"Комедия положений, мюзикл",7.7,Цилиндр,1935
США,Берт А. Гордон,"ужасы, фантастика",4.5,Циклопы,1957
США,Ричард Раш,"мелодрама, триллер, драма",5.2,Цвет ночи,1994
"Россия, США",Сергей Тарасов,"приключенческий фильм, истерн",,Цена сокровищ,1992
СССР,Ада Неретниеце,"приключенческий фильм, военный фильм",5.6,«Циклон» начнётся ночью,1966
"Китай, Япония","Чжан Имоу, Ян Фэнлян",драма,7.6,Цзюй Доу,1990
США,"Эндрю Уайлд, Поль Линч","детектив, боевик, приключения",6.4,Церемония,1993
Япония,Нагиса Осима,драма,7.2,Церемония,1971
США,"Деклан О'Брайэн, 1","фильм ужасов, кинофантастика",3.0,Циклоп,2008
США,Эндрю Дэвис,Триллер,5.7,Цепная реакция,1996
Австралия,Йен Бэрри,"боевик, драма, фантастика",5.4,Цепная реакция,1980
"Франция, 1, Германия, 2",Клод Шаброль,"Криминально-психологическая, драма, триллер",7.5,Церемония,1995
США,Барри Зонненфельд,"фэнтези, чёрная комедия",6.8,Семейные ценности Аддамсов,1993
СССР,Калье Кийск,историко-революционная психологическая драма,6.4,Цену смерти спроси у мёртвых,1977
СССР,Иван Правов,,5.8,Цепная реакция,"
1962"
СССР,Исаак Магитон,"фильм о спорте, музыкальный фильм",5.6,Центровой из поднебесья,1975
Франция,Марсель Блюваль,комедия,6.1,Цепная реакция,1963
"Великобритания, Франция",Нил Маршалл,"боевик, приключенческий фильм, драма, пеплум",6.3,Центурион,2010
США,Джесси Вульф,драма,5.3,Центр урагана,2012
Канада,Макс Адамс,"боевик, триллер, комедия",4.6,Ценный груз,2016
СССР,Александр Пороховщиков,"Драма, семейный",3.3,Цензуру к памяти не допускаю,1991
"Бразилия, Франция",Вальтер Саллес,драма,8.0,Центральный вокзал,1998
СССР,"Семён Деревянский, Игорь Земгано",спортивный фильм,5.5,Центр нападения,1946
Германия,Якоб М. Эрва,романтическая драма,7.1,Центр моего мира,2016
