country,director,genre,rating,title,year
США,"Джордж Хилл, [вд]","приключенческий фильм, немое кино",7.3,Барьер,1926
США,Шон Пенн,драма,6.9,Бегущий индеец,1991
СССР,Владимир Бортко,драма,7.7,Без семьи,1984
СССР,Генрих Габай,Приключенческий фильм,6.0,Без трёх минут ровно,1972
Чехословакия,Иво Томан,"преступление, драма",6.0,Барышни придут позже,1966
США,Джозеф Х. Льюис,нуар,7.6,Без ума от оружия,1950
США,Гилл Деннис,"триллер, драма",3.9,Без улик,1995
"США, Великобритания",Ронан Дэй-Льюис,драматический фильм,,Анемон,
"Франция, Чехия, Германия",Жан-Даниэль Верхак,драма,6.8,Без семьи,18 декабря 2000
СССР,Радомир Василевский,"комедия, детский фильм",6.3,Без сына не приходи!,1986
США,Руперт Сандерс,фэнтези,6.1,Белоснежка и охотник,2012
Российская империя,Евгений Бауэр,"драма, мелодрама",,Братья Борис и Глеб,1915
"Венгрия, Германия, Великобритания",Лайош Кольтаи,драма,7.0,Без судьбы,2005
"Франция, Северная Македония",Николя Бенаму,"комедия, экшен",5.8,Без тормозов,2016
"Испания, Италия, Португалия",Висенте Аранда,"биографический фильм, драматический фильм, 1, исторический фильм, 1, романтический фильм, 1",6.5,Безумие любви,2001
США,Марк Уэбб,"мюзикл, фэнтези",,Белоснежка,2025
США,Тамра Дэвис,драма,5.5,Без ума от оружия,1992
"Испания, Франция",Пабло Бергер,"фантастическая, драма",7.5,Белоснежка,2012
США,,фэнтези,,Белоснежка и злая королева,2025
США,2,Документальное кино,7.6,Бесплатная игра,2014
Россия,Владимир Тумаев,"драма, мелодрама",7.5,Белый ягель,2014
США,Майкл Спенс,"приключенческий фильм, драма, триллер",5.4,Берег чести,1991
"Италия, Франция, Испания",Альберто Латтуада,драма,5.5,"Белый, красный и...",1972
Венгрия,Андраш Елеш,драма,6.3,Благовещение,1984
"Гонконг, Китай",Ронни Ю,драма,7.6,Бесстрашный,2006
США,Тим Бёртон,"фэнтезийный, комедийный фильм ужасов",7.5,Битлджус,1988
Польша,Мария Каневская,комедия,6.3,Бич Божий,1966
Китай,Джон Ву,"исторический, приключенческий",7.3,Битва у Красной скалы,"
Часть первая: 2008 Часть вторая: 2009"
"Швеция, Италия, Германия, Норвегия, Финляндия, Франция, Великобритания, Исландия",Билле Аугуст,Драма,7.7,Благие намерения,1992
Южная Корея,Ким Ханмин,"история, военный, биография",6.6,«Битва у острова Хансан»,2022
Австралия,Скотт Хикс,драма,7.6,Блеск,1996
Великобритания,Том Клегг,"боевик, приключенческий фильм, исторический фильм, военный фильм",7.8,Битва Шарпа,1995
Гонконг,Эрик Цан,боевик,5.8,Близнецы,1992
СССР,"Лео Арнштам, Евгений Червяков, Виктор Эйсымонт, Владимир Фейнберг, Григорий Козинцев, Герберт Рапапорт",военный фильм,6.7,Боевой киносборник № 2,1941
СССР,"Павел Арманд, Натан Любошиц","драма, военный фильм",,Варежки,1942
США,Тим Бёртон,"готика, тёмное фэнтези, комедия ужасов",6.7,Битлджус Битлджус,2024
СССР,Александр Разумный,"детский фильм, военный",5.4,Бой под Соколом,1942
"США, Франция",Diego Ongaro,"драматический фильм, 1",6.4,Боб и деревья,2015 26 января 2015
США,Когонада,,,"Большое, отважное, прекрасное путешествие",2025
США,Пенни Маршалл,1,7.3,«Большой»,1988
США,Лоуренс Кэздан,драма,7.1,Большое разочарование,1983
США,Джон Лэндис,"комедия, музыкальный фильм",7.9,Братья блюз,1980
США,Джеймс Фроли,комедия,5.6,Большой автобус,1976
США,Джон Лэндис,"бадди-муви, музыкальный фильм, боевик, комедийный фильм",4.9,Братья Блюз 2000,1998
"Исландия, Дания, Швеция",Хлинюр Палмасон,драма,6.6,"Белый, белый день",2019
Франция,Патрис Леконт,комедия,5.9,Большое турне,1996
Индия,Каран Мальхотра,"драма, спортивный фильм",6.4,Братья,2015
США,Джим Шеридан,"драма, военный",7.1,Братья,2009
Дания,Сюзанна Бир,драма,7.5,Братья,2004
СССР,Герберт Раппапорт,"драма, мелодрама, социальная драма",6.4,В дождь и в солнце,1960
"Новая Зеландия, США, Россия",Питер Джексон,"фэнтези, приключения, комедия, пародия",,Властелин колец: Братва и кольцо,2002
"Новая Зеландия, Великобритания",Брэд Макганн,"драма, триллер",7.4,В доме моего отца,2004
СССР,Виктор Эйсымонт,мелодрама,7.4,В добрый час!,1956
США,Виктор Сальва,"фильм ужасов, триллер",4.6,Бульвар страха,2011
США,Тай Уэст,"драма, вестерн",6.1,В долине насилия,2016
США,Джордж Рэтлифф,трагикомедия,5.3,Бульвар спасения,2011
Российская империя,Александр Пантелеев,драма,,Во имя прошлого,1915
Франция,Франсуа Озон,триллер,7.3,В доме,2012
США,Пол Хаггис,"драма, детектив",7.2,В долине Эла,2007
Венгрия,Дмитрий Ляшук,документальный фильм,,Во имя Тисы,2021
"Франция, Болгария",Эльвио Сото,Историческая драма,6.6,В Сантьяго идёт дождь,1975
США,Ирвинг Франко,Драма,6.0,В поисках Адама,2024
СССР,"Амасий Мартиросян, Юрий Ерзинкян",кинокомедия,3.6,В поисках адресата,1955
Украинская ССР,"Дмитрий Дальский, Людмила Снежинаская","военный, драма",,"Возможно, завтра",1931
СССР,Дамир Салимов,драма,,Возвращение командира,1968
"Великобритания, Франция, США",Джил Годмилов,"драма, фильм-биография",6.2,В ожидании Луны,1987
"Польша, США","Лукаш Карвовски, Г. Милованова, И. Теславский","мелодрама, комедия",5.4,В ожидании любви,2008
США,Гленн Джордан,комедия,7.2,Варвары у ворот,20 марта 1993
СССР,Евгений Егоров,Политический детектив,4.9,Вариант «Зомби»,1985
США,Джордж Стивенс,драма,6.6,Величайшая из когда-либо рассказанных историй,1965
Великобритания,Роджер Мичелл,драма,7.1,Венера,2006
СССР,Александр Роу,фильм-сказка,7.2,"Варвара-краса, длинная коса",1969
"США, Италия",Руджеро Деодато,"Фэнтези, приключения",5.0,Варвары,"
 
"
США,Сесил Б. Демилль,"Драма, мелодрама, детектив",6.5,Величайшее шоу мира,1952
СССР,Годердзи Чохели,комедия,8.3,Великий поход за невестой,1984
Великобритания,Ричард Лестер,"комедия, музыкальный",7.5,Вечер трудного дня,1964
,Лилия Трофимова,"комедия, мелодрама",6.5,"Вечер шутов, или Cерьёзно с приветом",2020 1
"Испания, Мексика",Луис Буньюэль,драма,8.0,Виридиана,1961
Канада,Дэвид Кроненберг,"фильм ужасов, фантастика",7.2,Видеодром,1983
Швеция,Ингмар Бергман,драма,7.4,Вечер шутов,1953
СССР,Анатолий Васильев,драма,7.9,Взрослая дочь молодого человека,1990
США,"Келли Райхардт, 2, 3, […]","драматический фильм, 2, 3, […]",7.1,Венди и Люси,2008 22 октября 2009 1
США,Джон Форд,"комедия, детектив",7.2,Весь город говорит,1935
СССР,Владимир Фетин,Драма,7.0,Виринея,1968
СССР,"Всеволод Пудовкин, Дмитрий Васильев","киноповесть, драма",6.7,Во имя Родины,1943
Индия,Рам Гопал Варма,"боевик, докудрама",5.3,Вираппан,2016
Россия,Михаил Туманишвили,"военный фильм, криминальный фильм",,Второе дыхание,2008
Россия,Катя Райская,Комедия,,"Второе счастье, или Кино за 40 часов",2016
США,Джон Флинн,боевик,6.1,Во имя справедливости,1991
СССР,Алексей Салтыков,мелодрама,6.0,Возврата нет,1973
"США, Болгария, Канада",Уве Болл,"приключенческий фильм, фэнтези, боевик",3.0,Во имя короля 3,2014
США,Джон Бэдэм,"боевик, 1, 2, фильм-триллер, girls with guns, фильм о боевых искусствах",6.1,Возврата нет,1993
СССР,Аббас-Мирза Шарифзаде,социальная драма,6.2,Во имя Бога,1925
США,Пол Стадер,"экранизация романа, научно-фантастический фильм",4.9,Возвращение капитана Немо,8 марта 1978
Австралия,Питер Уир,триллер,6.5,Водопроводчик,1979
,Робер Лепаж,,6.6,Возможные миры,2000
США,Дэвид фон Анкен,вестерн,6.6,Водопад ангела,2006
США,Мартин Б. Коэн,"боевик, криминальный фильм, драма",4.1,Возмутители спокойствия,1970
Франция,Седрик Клапиш,"научная фантастика, драма",5.8,Возможно,1999
,Эртем Эгилмез,"комедия, драма",9.2,Возмутительный класс,1975
"США, Великобритания",Мартин Кэмпбелл,"триллер, детектив",6.6,Возмездие,2010
СССР,Никита Хубов,документальный,,Герои не опаздывают,1968
"Великобритания, Австралия",Джонатан Теплицки,драма,7.1,Возмездие,2013
США,Майк Николс,"романтический, фильм ужасов",6.3,Волк,1994
"США, Канада",Дэн О'Бэннон,ужасы,6.2,Воскресший,1992
США,Сидни Люмет,"драма, криминальный фильм",6.6,Вопросы и ответы,1990
СССР,Евгений Гинзбург,"музыкальный, фильм-спектакль",6.7,Волшебный фонарь,1976
