country,director,genre,title,year
Испания,"Хесус Франко, 1","фильм о вампирах, фильм ужасов, 2, музыкальный фильм, 2, комедийный фильм, 2",Убийцы Барби,22 мая 1996 1
США,Мартин Скорсезе,"эпическая, криминальная драма, вестерн",Убийцы цветочной луны,2023
США,Антуан Фукуа,"триллер, боевик",Убийцы на замену,1998
Великобритания,Фил Клейдон,"фильм о вампирах, комедия ужасов, чёрная комедия, ЛГБТ-фильм, боевик",Убийцы вампирш-лесбиянок,2009
СССР,"Александр Гордон, Андрей Тарковский",драма,Убийцы,1956
"Франция, Бельгия",Франсуа Трукен,триллер,Убийцы,2017
"Япония, США",Роберт Хьюстон,боевик,Убийца сёгуна,1980
"Франция, Германия",Матьё Кассовиц,драма,Убийца(ы),1997
Гонконг,Стивен Тун,"боевик, комедия, криминальный",Убийца по контракту,1998
США,Абель Феррара,ужасы,Убийца с электродрелью,1979
Польша,Александр Сцибор-Рыльский,"Детективный, Военный",Преступник оставляет след (Убийца оставляет след),1967
США,Бадд Беттикер,Фильм нуар,Убийца на свободе,1956
США,Том Хэнсон,детектив,Убийца Зодиак,1971
Гонконг,Дун Цзиньху,"боевик, драма",Убийца Будды,1980
США,Стефен Т. Кэй,"триллер, драма, криминал",Убийца в социальной сети,3 января 2011
США,"Роуди Херрингтон, 1","криминальный фильм, 1, боевик",Убийца ворон.,1999
США,"Стив Стэффорд, 1",триллер,Убийца,1992
США,Бретт Саймон,"комедия, Детектив, Криминал",Убийство школьного президента,2008
США,Дэвид Финчер,триллер,Убийца,2023
"Франция, Германия, Италия",Клод Отан-Лара,"драма, триллер",Убийца,1963
"США, Румыния",Киони Ваксман,боевик,Убийство Салазара,2016
"Италия, Франция, Великобритания",Джозеф Лоузи,"фильм-биография, драма, исторический",Убийство Троцкого,1972
Великобритания,Альфред Хичкок,"детектив, триллер",Убийство,1930
Чехословакия,Йиржи Вайс,"чёрная комедия, криминал",Убийство по-чешски,1966
США,Ирвинг Лернер,Фильм нуар,Убийство по контракту,1958
"США, Франция",Марк Рокко,"драма, триллер",Убийство первой степени,1994
США,Уильям Уэбб,триллер,Убийство по заказу,1993
США,Стивен Спилберг,детективный фильм,Убийство по книге,15 сентября 1971
Великобритания,Теренс Фишер,Фильм нуар,Убийство по договорённости,1954
США,С. Силвэн Саймон,"Детективный фильм, Комедия",Убийство на Центральном вокзале,1942
Италия,Бруно Корбуччи,детектив,Убийство на Тибре,1979
,,документальный,Убийство на рифе,2018
США,Роберт Флори,фильм ужасов,Убийство на улице Морг,1932
Россия,Суламбек Мамилов,"детектив, драма",Убийство на «Ждановской»,1992
США,Нельсон МакКормик,"драма, биография, исторический",Убийство Кеннеди,2013
США,Роберт Мачоян,драма,Убийство двух любовников,2020
Великобритания,Эндрю Пиддингтон,драма,Убийство Джона Леннона,2006
,,,Убийство в соборе,
США,Лоренс Симеоне,"триллер, детектив","Убийство вслепую, или в плену у наваждения",1994
Великобритания,Майкл Линдсей-Хогг,фантастика,Убийство в лунном свете,1989
"Франция, Италия",Джордж Пан Косматос,драма,Убийство в Риме,1973
"Польша, США",Кшиштоф Занусси,"драма, детективный фильм, криминальный фильм, экранизация, триллер",Убийство в Катамаунте,1975
США,Джереми Гарелик,"боевик, комедия, драма, детектив",Убийство в Париже,2023
Республика Корея,"Пак Чой, 4","драматический фильм, 2, 3, фильм-триллер, 2, 3, боевик",Убийство,22 июля 2015 1
США,Джордж Армитедж,"романтическая комедия, комедийный триллер, боевик",Убийство в Гросс-Пойнте,1997
Япония,Масахиро Синода,"дзидайгэки, историческая, драма",Убийство,1964
США,Дэвид Таусик,триллер,«,1992
"Великобритания, США, Австралия",Сидни Люмет,детектив,Убийство в «Восточном экспрессе»,1974
США,Феликс Дейковс,"Фильм нуар, Детектив",Убийство,1949
Франция,Жан Бекер,драма,Убийственное лето,1983
"Италия, Франция",Риккардо Фреда,фильм ужасов,Убийственное безумие,1981
США,Роберт Инглунд,"комедийный, фильм ужасов",Убийственная хата,2008
США,Роберт Льюис,детектив,Убийство в женском клубе,1988
США,Йоханнес Робертс,"Фильм ужасов, триллер",Убийственная поездка,2011
"Великобритания, США",Данис Танович,криминал,Убийства по открыткам,2020
Гонконг,Чжан Чэ,боевик,Убийства повсюду,1980
США,Филипп Лакот,,Убийственная жара,2024
США,Джеффри Райт,слэшер,Убийства в Черри-Фолс,2000
"Великобритания, Франция, Испания",Алекс де ла Иглесиа,"триллер, криминальный фильм",Убийства в Оксфорде,2008
США,Дик Лоури,драма,Убийства в полночь,1991
США,Дэниэл Фаррандс,фильм ужасов,Убийства в Амитивилле,2018
США,Тамми Саттон,фильм ужасов,Убивать шутя 2,2002
Италия,"Франческо Мазелли, 1",комедийный фильм,"Убей меня скорей, мне холодно",1967
США,Айвен Холл,боевик,Убей или умри,1980
США,Джон Даль,"комедия, криминальный фильм, мелодрама",Убей меня,2007
Великобритания,Оуэн Харрис,"чёрная комедия, криминальный, триллер",Убей своих друзей,2017
Франция,Франсуа Озон,драма,Убежище,2009
Россия,Михаил Шевчук,кинокомедия,"Убежать, догнать, влюбиться",2016
США,Йон Марковиц,"мелодрама, драма",Убежище,2007
ФРГ,"Райнер Вернер Фасбиндер, 2","драматический фильм, спагетти-вестерн, мелодрама, художественный фильм",Уайти,1971 1
США,Лоуренс Кэздан,"вестерн, биографический фильм",Уайетт Эрп,1994
США,Александр Ажа,фильм ужасов,У холмов есть глаза,2006
Италия,"Паоло Тавиани, Витторио Тавиани",драма,У святого Михаила был петух,1972
"Франция, Италия",Рене Клеман,"драма, мелодрама",У стен Малапаги,1949
СССР,Анатолий Иванов,"драма, экранизация",У призраков в плену,1984
Украина,Ева Нейман,драма,У реки,2006
США,Уэс Крэйвен,фильм ужасов,У холмов есть глаза,1977
СССР,Амо Бек-Назаров,драма,У позорного столба,1923
США,Джордж Мерривезер,комедия,У блондинок пушки круче,1995
"США, Мексика",Джон Хьюстон,"драма, экранизация",У подножия вулкана,1984
Флаг Чехословакии,Мартин Фрич ,кинокомедия,Тяжкая жизнь авантюриста,1941
Канада,Борис Малагурский,документальный,Тяжесть цепей,2010
Россия,Константин Мурзенко,"мелодрама, комедия",Тяжёлый случай,2013
США,Уолтер Хилл,драма,Тяжёлые времена,1975
США,Шон Патрик О’Рейли,"боевик, фантастика, триллер, супергероика",Тюрьма суперзлодеев,2022
США,Аарон Осборн,"боевик, фантастика, женщины в тюрьме",Тюрьма 3000 года,1995
США,Роберт Борис,комедия,Тюремная биржа,1987
США,Ричард Торп,"криминальный фильм, драма, мелодрама, музыкальный фильм",Тюремный рок (Кандальный рок),1957
Япония,Синъя Цукамото,триллер,Тэцуо: Человек-пуля,2009
Италия,"Фердинандо Бальди, 1",боевик,Тэн Зан: Последняя миссия,1988
Германия,Роза фон Праунхайм,документальный,"Тэлли Браун, Нью-Йорк",1979
Австрия,"Джастин П. Лэнг, Клеменс Хюфнагл","фильм ужасов, драма",Тьма,2018
"Франция, Италия, Швейцария",Филипп де Брока,кинокомедия,Тысяча и одна ночь,1990
США,Майкл Андерсон,"драма, фантастика, триллер",Тысячелетие,1989
Мексика,Хулиан Эрнандес,"драма, мелодрама","Тысяча облаков мира закрыли небо, люби, твоя любовь будет вечной",2003
США,Стэн Уинстон,фильм ужасов,Тыквоголовый,1988
Польша,"Новина-Пшибыльский, Ян",драматический фильм,"Ты, что в Острой светишь Браме...",1937
"Франция, Италия",Фриц Ланг,"детектив, триллер, фантастика",Тысяча глаз доктора Мабузе,1960
Россия,Никита Аржаков,историческая драма,Тыгын Дархан,2020
Польша,Рышард Заторский,"мелодрама, комедия",Ты только люби,2006
"Судан, 1, Франция, 1, Германия, 1, Египет, 1, Норвегия, 1, Катар, 1",Амджад Абу Алала,"драматический фильм, 1",Ты умрёшь в 20,12 февраля 2020 2019
Россия,Дмитрий Астрахан,"драма, мелодрама",Ты у меня одна,1993
Швеция,Йоран Граффман,"детский, семейный, комедия","Ты с ума сошла, Мадикен!",1979
,Энтони Мир,"Триллер, комедия",Ты не сможешь остановить убийцу,2003
СССР,Владимир Кочетов,,"Ты молодец, Анита!",1956
Индия,Тахир Хуссэйн,"фэнтези, мелодрама",Ты мой,1990
СССР,Лариса Шепитько,драма,Ты и я,1971
Италия,Роберто Бениньи,комедия,Ты беспокоишь меня,1983
Великобритания,Хелен М. Грейс,Комедия,Ты готов к любви?,2007
США,Келли Фримон Крейг,"комедийная драма, 2, подростковый фильм, драматический фильм","Ты здесь, Бог? Это я, Маргарет",28 апреля 2023 1 23 апреля 2023 1 19 мая 2023 1
США,Нахнатчка Кхан,романтическая комедия,Ты – моё сомнение,2019
Аргентина,"Марко Бергер, Мартин Фарина","драматический фильм, ЛГБТ-фильм, комедийный фильм",Тхэквондо,2016
Канада,Паоло Барзмен,"триллер, драма",Ты принадлежишь мне,2001
СССР,Василий Ордынский,драма,Тучи над Борском,1960
"Россия, Беларусь, Польша, Чехия, Франция, США",Константин Фам,"Драма, Исторический",Туфельки,2012
США,Род Блэкхёрст,"постапокалиптика, фильм ужасов, драма",Тут одна,2016
Франция,"Мари Амашукели, Клер Бёргер, Самюэль Тейс",драма,Тусовщица,2014
США,Сидни Поллак,"комедийная, драма",Тутси,1982
Франция,Жан Ренуар,историческая драма,"Турнир, Турнир в городе",1928
Нидерланды,Пол Верховен,"драма, мелодрама",Турецкие наслаждения,1973
"Венгрия, Франция, Германия, Швейцария, США","Бела Тарр, Агнеш Храницки",драма,Туринская лошадь,2011
Великобритания,Скотт Манн,"боевик, криминальный фильм",Турнир на выживание,2009
Германия,Бора Дагтекин,комедия,Турецкий для начинающих,2012
"Россия, Центральноафриканская Республика",Андрей Батов,боевик,Турист,2021
США,Джон Стоквелл,"ужасы, триллер, боевик, приключения",Туристас,2006
США,Роберт Батлер,"триллер, боевик",Турбулентность,1997
Протекторат Богемии и Моравии,Отакар Вавра,"драма, исторический, экранизация",Турбина,1941
СССР,Семён Тимошенко,драма,Турбина № 3,1927
"Канада, Новая Зеландия","Франсуа Симар, Анук Висселль, Йоанн-Карл Висселль","постапокалиптика, боевик, приключения, комедия",Турбо пацан,2015
"США, Япония","Дэвид Уиннинг, Шуки Леви",супергеройский фильм,Турборейнджеры,1997
"Турция, Италия, Испания",Ферзан Озпетек,драма,Турецкая баня,1996
"Чехословакия, 2","Вера Хитилова, 1, 2, […]","триллер, фантастика",Турбаза «Волчья»,1 июня 1987 2
Испания,Висенте Аранда,эротическая драма,Турецкая страсть,1994
СССР,Отар Шаматава,притча,Турандот,1990
Франция,"Лоран Тюэль, 1",комедия,Тур де Шанс,2013
Россия,Марк Горобец,"комедия, роуд-муви",Тур с Иванушками,2024
США,Трой Миллер,комедия,Тупой и ещё тупее тупого: Когда Гарри встретил Ллойда,2003
Китай,Цао Баопин,"драма, криминал",Тупик,2015
США,Питер Фаррелли,"роуд-муви, комедия",Тупой и ещё тупее,1994
Россия,Слава Росс,"мелодрама, комедия",Тупой жирный заяц,2006
США,Джаред Кон,"боевик, триллер",Тупик,2021
США,"Бобби Фаррелли, Питер Фаррелли",комедия,Тупой и ещё тупее 2,2014
ФРГ,Роланд Клик,"вестерн, триллер",Тупик,1970
Франция,Жорж Мельес,фантастика,"Туннель под Ла-Маншем, или Франко-английский кошмар",1907
,Lauren Lazin,документальный,Тупак: Воскрешение,2003
США,Чарльз Видор,Криминальная мелодрама,Тупик,1939
Великобритания,Роман Полански,триллер,Тупик,1966
"США, Франция","Жан-Батист Андреа, Фабрис Канепа","фильм ужасов, триллер",Тупик,2003
Гонконг,Чжан Чэ,"боевик, драма",Тупик,1969
Флаг Австралии,Карло Ледесма,"фильм ужасов, псевдодокументальный фильм",Туннель,2011
США,Уильям Уайлер,криминальная драма,Тупик,1937
Германия,Роланд Зузо Рихтер,"триллер, драма",Туннель,2001
"СССР, СР Румыния",Франчиск Мунтяну,Военный фильм,Туннель,1966
"Испания, Аргентина",Антонио Дрове,мелодрама,Туннель,1987
Франция,Кёртис Бернхардт,"драма, научно-фантастический фильм",Туннель,1933
Италия,Лукино Висконти,драма,Туманные звёзды Большой Медведицы,1965
"Германия, Канада",Уве Болл,"боевик, драма, военный фильм",Туннели смерти,2008
СССР,Евгений Шерстобитов,"фантастика, драма",Туманность Андромеды,1967
Россия,"Иван Шурховецкий, Артём Аксёненко","военный фильм, фантастика, драма",Туман,2010
Италия,Кастеллано и Пиполо,чёрная комедия,Туз,1981
США,"Руперт Уэйнрайт, 1, 2, […]",фильм ужасов,Туман,2005
СР Румыния,Лучиан Брату,"биографический фильм, исторический фильм, драма",Тудор,1962
"Финляндия, 1, 3, […], Швеция, 3, 2","Зайда Бергрот, 1","биографический фильм, 2",Туве,2020
СССР,Михаил Швейцер,драма,Тугой узел,1956
Франция,Патрис Леконт,"криминальный фильм, комедия",Туалет был заперт изнутри,1976
Германия,Файт Хелмер,Трагикомедия,Тувалу,1999
"Канада, Квебек",Ким Нгуен,"фантастика, драма, триллер",Трясина,2002
"Исландия, Германия, Дания",Балтазар Кормакур,"драма, детектив, триллер",Трясина,2006
СССР,Григорий Чухрай,"драма, военный фильм",Трясина,1977
США,Ричард Раш,"боевик, чёрная комедия, драма, 1",Трюкач,1980
США,Джим Фолл,"мелодрама, комедия, музыкальный фильм",Трюк,1999
США,Роуль Рэйн,"боевик, триллер",Трудная мишень 2,2016
США,Джон Ву,"боевик, триллер",Трудная мишень,1993
США,Джим Уайнорски,вестерн,Трудная добыча,1995
"СССР, Франция, Швейцария",Петер Фляйшман,"фантастика, приключенческий фильм, драма",Трудно быть богом,1989
СССР,Котэ Марджанишвили,"драма, экранизация",Трубка коммунара,1929
"Греция, Великобритания, США",Михалис Какояннис,экранизация античной трагедии,Троянки,1971
США,Майкл Кёртис,"драма, музыкальный",Трубач,1950
"Италия, Франция, Югославия",Джорджо Феррони,пеплум,Троянская война,1961
"Россия, Австрия, Мексика, США, Швейцария",Леонид Марягин,исторический фильм,Троцкий,1993
США,Джордж Хуан,комедия,Троянская штучка,1997
СССР,Эрик Лацис,,Тростниковый лес,1971
Канада,Жакоб Тьерни,комедия,Троцкий,2009
СССР,Юрий Победоносцев,"драма, экранизация",Тропы Алтая,1963
США,Стэнли Кубрик,"военная, драма",Тропы славы,1957
Австралия,Джон Кёрран,драма,Тропы,2013
Таиланд,"Вирасетакул, Апичатпонг",драма,Тропическая болезнь,2004
Япония,Кадзуо Икэхиро,тямбара,Тропой крови,1972
США,П. Дж. Пеше,вестерн,Тропой отчаяния,1994
СССР,Агаси Бабаян,детский фильм,Тропой бескорыстной любви,1971
СССР,Артур Войтецкий,драма,Тронка,1971
США,Джада Колагранде,"нуар, фильм-триллер",Тропико,
"Италия, Канада","Джо д’Амато, Фабрицио Лауренти",фильм ужасов,Тролль 3,1990
Япония,Акира Куросава,дзидайгэки,Трон в крови,1957
США,Джон Карл Бюхлер,"тёмное фэнтези, ужасы",Тролль,1986
США,Джозеф Косински,"научная фантастика, киберпанк, боевик",Трон: Наследие,2010
США,Уолт Дорн,"комедия, приключения",Тролли. Группа в сборе,18 октября 2023 4 19 октября 2023 5 26 октября 2023 6 27 октября 2023 5 17 ноября 2023 5
США,Стивен Лисбергер,"научная фантастика, киберпанк",Тор,1982
"Франция, Италия, Испания, Греция, Россия",Эрик Ромер,драма,Тройной агент,2004
Великобритания,Майкл Эптед,драма,Тройное эхо,1972
СССР,Лейла Аранышева,военный фильм,Тройной прыжок «Пантеры»,1986
СССР,Алоиз Бренч,военный,Тройная проверка,1969
Япония,Ясудзиро Симадзу,романтическая комедия,Тройная помолвка,1937
США,"Чарли Чаплин, Лео Уайт",комедия,Тройная неприятность,1918
"Израиль, Россия",Леонид Прудовский,"комедия, драма",Тройка,2010
Германия,Владимир Стрижевский,"драма, мелодрама",Тройка,1930
СССР,Николай Шпиковский,драматический фильм,Трое с одной улицы,1936
Россия,Ян Гэ,драма,Троица,2019
СССР,Владимир Довгань,"драма, военный, исторический фильм",Трое суток после бессмертия,1963
Индия,Раджив Рай,боевик,Трое разгневанных мужчин,1989
Китай,Дэниэл Ли,исторический,Троецарствие: Возрождение дракона,2008
СССР,Анатолий Бобровский,роуд-муви,Трое на шоссе,1983
США,Ричард Уилсон,молодёжная комедия,Трое на чердаке,1968
США,Сэм Ньюфилд,"Детективный фильм, Комедия",Трое на билет,1947
США,Леонард Нимой,комедия,Трое мужчин и младенец,1987
США,Эмиль Ардолино,"комедия, драма, семейный фильм",Трое мужчин и маленькая леди,1990
Россия,"Павел Бардин, Мгер Мкртчян",комедия,Трое и Снежинка,2007
США,Билл Л. Нортон,"комедия, драма",Трое в дороге,1987
СССР,Александр Соловьёв,комедия,Трое,1927
США,Фредди Фрэнсис,научная фантастика,Трог,1970
СССР,Наум Бирман,"комедия, мюзикл","Трое в лодке, не считая собаки",4 мая 1979
Израиль,Хаим Эхт,Документальное кино,Триумф духа.,2006
Нацистская Германия,Лени Рифеншталь,документальный фильм,Триумф воли,1935
"Италия, Франция, Германия",Фабрицио Коста,"мини-сериал, экранизация, исторический фильм, драма, мелодрама, приключения, фентези",Тристан и Изольда ,1998
Россия,Олег Погодин,боевик,Триумф,2000
Россия,Александр Прошкин,"криминальный фильм, боевик, роуд-муви",Трио,2003
"Великобритания, Германия, США, Чехия, 2",Кевин Рейнольдс,"эпический фильм, романтическая драма",Тристан и Изольда,2006 18 мая 2006 1
"Великобритания, США",Рон Ховард,"боевик, драматический фильм, исторический фильм, фильм про выживание, биографический фильм",Тринадцать жизней,2022 29 июля 2022 1 5 августа 2022 1
Великобритания,Джонатан Гленденинг,"боевик, фильм ужасов",Тринадцать часов,2010
США,Гела Баблуани,"драма, триллер",13,2010
"Германия, США",Йозеф Руснак,"фантастика, киберпанк, триллер, мелодрама, антиутопия, неонуар",Тринадцатый этаж,1999
США,Отто Премингер,Фильм нуар,Тринадцатое письмо,1951
Гонконг,"Гриффин Юэ, Чэн Ган, Чжан Чэ","боевик, драма",Трилогия о меченосцах,1972
,Джордж Лукас,Космическая опера,Трилогия приквелов «Звёздных войн»,Скрытая угроза Атака клонов Месть ситхов
Южная Корея,Пак Чхан Ук,"драма, детектив, триллер, криминал",Трилогия о мести,"
2002—2005"
СССР,Виктор Трегубович,мелодрама,Трижды о любви,1981
Гонконг,Лю Цзялян,"боевик, приключенческий фильм, драма",Тридцать шесть ступеней Шаолиня,1978
США,Ричард Куайн,комедия,Тридцать три несчастья,1962
США,Мервин Лерой,военный фильм,Тридцать секунд над Токио,1944
США,Бастер Китон,комедия,Три эпохи,1923
Франция,Жан-Жак Бенекс,"драма, эротика",Тридцать семь и два по утрам,1986
США,Уильям Бодайн,"мелодрама, кинокомедия",Три умницы,1932
"Россия, Сирия",Виктор Доценко,"боевик, детектив",«Тридцатого» уничтожить!,1992
США,Кларенс Баджер,"кинокомедия, мелодрама",Три уикенда,8 декабря 1928 1
"Франция, Швейцария, Польша",Кшиштоф Кесьлёвский,драма,Три цвета: Красный,1994
СССР,"Алексей Баталов, Иосиф Шапиро","сказка, приключения",Три толстяка,1966
СССР,Семён Тимошенко,комедия,Три товарища,1935
СССР,Арья Дашиев,,Три солнца,
Россия,Юрий Грымов,драма,Три сестры,2017
Великобритания,"Лоренс Оливье, Джон Зихель",драма,Три сестры,1970
"ГДР, 1",Томас Лангхофф,драматический фильм,Три сестры,1984
СССР,Самсон Самсонов,драма,Три сестры,1964
Польша,Михал Вашиньский,драма,Три сердца,1939
Япония,Хидэо Гося,тямбара,Три самурая вне закона,1964
"Великобритания, США",Джек Шер,"фантастика, приключения",Три мира Гулливера,1960
США,Наннэлли Джонсон,драма,Три лица Евы,1957
СССР,Рамаз Шарабидзе,комедия,Три рубля,1976
США,Джон Форд,вестерн,Три крёстных отца,1948
"Румыния, 1","Эмануэль Пырву, 1","драматический фильм, 1",Три километра на краю света,2024
Чехословакия,Мартин Тяпак,"сказка, детский фильм",Три золотых волоса,1982
"США, Австралия",Дэвид О. Расселл,"боевик, приключенческий фильм, черная комедия, драма, военный фильм",Три короля,1999
Франция,Марсель Карне,драма,Три комнаты на Манхэттене,1965
"Россия, Украина",Кира Муратова,трагифарс,Три истории,1997
"США, Великобритания",Дон Чеффи,"драма, фэнтези, семейный",Три жизни Томазины,1963
Беларусь,Виталий Дудин,комедия,Три женщины и мужчина,1998
СССР,Резо Чархалашвили,комедия,Три жениха,1978
США,Марта Кулидж,"драма, фэнтези",Три желания,1995
США,Роберт Олтмен,драма,Три женщины,1977
Индия,Сатьяджит Рай,"комедия, драма",Три дочери,1961
"Франция, США",Макджи,"боевик, драма, комедия",Три дня на убийство,2014
США,Пол Хаггис,"криминальный, драма, мелодрама",Три дня на побег,2010
США,Сидни Поллак,триллер,Три дня Кондора,1975
Россия,Александр Касаткин,"военный, детектив",Три дня до весны,2017
Россия,Алексей Пиманов,"мелодрама, исторический",Три дня в Одессе,2007
"Канада, Франция, ЮАР",Тим Волочатюк,Документальный фильм,Три дня в Джонстауне,2007 1
СССР,Алексей Коренев,"лирическая, комедия, мелодрама, музыкальный фильм",Три дня в Москве,2 января 1975
"Россия, Азербайджан, Германия",Мурад Ибрагимбеков,"комедия, детектив",Три девушки,2007
СССР,"Александр Птушко, Всеволод Пудовкин, Сергей Юткевич",драматический фильм,Три встречи,1948
США,Эдвард Берндс,"фэнтезийный фильм, 1, комедийный фильм, 1",Ери балбеса встречают Геркулеса,1962
Чехословакия,Олдржих Липский,"сказка, фантастика",Три ветерана,1984
Индия,Мукул С. Ананд,драма,Три брата,1995
СССР,Владилена Мусатова,документальный,Три Андрея,1966
США,Джон Лэндис,комедия,Три амиго,1986
Индия,Аббас и Мастан Бурмавалла,триллер,Трещина,1996
Российская империя,"Александр Уральский  ,  Николай Ларин",Исторический,Трёхсотлетие царствования дома Романовых,1913
"Франция, ФРГ","Вольфганг Штаудте, 1, 2",драматический фильм,Трёхгрошовая опера,1962
"Великобритания, Австралия",Кристофер Смит,"мистический, триллер, драма",Треугольник,2009
СССР,"Вячеслав Висковский, Юрий Музыкант",драма,Третья жена муллы,1928
СССР,Анвар Тураев,"драма, экранизация",Третья дочь,1970
СССР,Ричард Викторов,"драма, военный фильм",Третья ракета,1963
Япония,Умэцугу Иноуэ,"исторический, фильм-драма",Третья тень,1963
"Швеция, Германия, Франция",Рубен Эстлунд,комедийная драма,Треугольник печали,2022
"СССР, Франция",Жан Древиль,мелодрама,Третья молодость,1965
СССР,Абрам Роом,Мелодрама,Третья Мещанская,1927
Франция,Эрик Форестье,"фантастика, драма",Треть мира,2008
США,Агнешка Холланд,драма,Третье чудо,1999
Ирландия,Дэвид Фрейн,"фильм ужасов, фильм о зомби, постапокалиптический фильм",Третья волна зомби,2017
Япония,Хирокадзу Корээда,драматический фильм,Третье убийство,2017 9 сентября 2017 2 20 июля 2018 2
Италия,Паскуале Скуитьери,"триллер, экранизация",Третье решение ,1988
ФРГ,Райнер Вернер Фасбиндер,чёрная комедия,Третье поколение,1979
СССР,Игорь Савченко,киноэпопея,Третий удар,1948
Великобритания,Кэрол Рид,"детектив, нуар",Третий человек,1949
Россия,Анатолий Эйрамджан,комедия,Третий не лишний,1994
США,Сет Макфарлейн,комедия,Третий лишний 2,2015
Чехословакия,"Антонин Москалик, 3",сказка,Третий принц,1 июля 1983 1 2
Северная Македония,Дарко Митревски,драма,Третий тайм,2012
СССР,Евгений Карелов,"драма, военный",Третий тайм,1962
СССР,Сергей Олейник,"драма, экранизация",Третий в пятом ряду,1984
США,Роб Райнер,"драма, комедия",Третий акт,2012
Украина,Радомир Василевский,"для детей, экранизация",Трень-брень,1994
США,Сет Макфарлейн,комедия,Третий лишний,2012
СССР,Александр Павловский,комедия,"Трест, который лопнул",18 марта 1983
Германия,Гернот Ролл,историческая драма,Тренк — Два сердца против короны,2002
"Израиль, Франция, США","Сэнди Симха Дубовски, 1",документальный фильм,Трепет перед Б-гом,2001
Казахстан,Фархат Шарипов,драма,Тренинг личностного роста,2018
"США, Германия",Томас Картер,"драма, спорт",Тренер Картер,2005
Россия,Данила Козловский,драма,Тренер,2018
США,Антуан Фукуа,"триллер, криминальный фильм, драма",Тренировочный день,2001
СССР,Яков Базелян,драма,Тренер,1969
Великобритания,Стив Бэррон,комедия,Тренер,2001
США,Ники Каро,"драма, спортивный",Тренер,2015
СССР,Олег Николаевский,"оперетта, комедия",Трембита,1968
Франция,"Клод Берри, 1, 2, […], Франсуа Дюпейрон, 1, 2, […]",комедийный фильм,Трезор,2009
СССР,Леонид Осыка,"военный фильм, драма",Тревожный месяц вересень,1976
Россия,Резо Гигинеишвили,"комедия, мелодрама",Трезвый водитель,2019
СССР,Владилен Недолужко,"боевик, детектив",Тревожные ночи в Самаре,1969
США,Пегги Райски,драма,Тревор,1994
СССР,Рудольф Фрунтов,"драма, фильм-катастрофа",Тревожное воскресенье,1983
СССР,"Александр Алов, Владимир Наумов",,Тревожная молодость,
СССР,Диамара Нижниковская,"драма, военный",Тревоги первых птиц,1985
Румыния,Дину Негряну,"драма, шпионский, приключенческий",Тревога в горах,1955
США,Брэд Андерсон,"триллер, криминальный фильм",Тревожный вызов,2013
НРБ,Захари Жандов,драма,Тревога,1951
США,"Джонас Барнс, Майкл Манассери",триллер,Требуется няня,2008
США,"Артур Орниц,  Гюнтер фон Фритш",,Требуется хозяин,1936
"Канада, Бельгия, США",Николас Джареки,фильм-триллер,Трафик,2021
США,Стивен Содерберг,"криминал, драма, триллер",Траффик,2000
Иран,Narges Abyar,военный фильм,Траншея 143,2014
СССР,"Ф. С. Слидовкер, В. В. Смирнов-Голованов",телебалет,Трапеция,1970
США,Боб Гейл,"драма, комедия, роуд-муви, притча",Трасса 60,2002
"США, Китай",Майкл Бэй,"научно-фантастический, боевик",Трансформеры: Эпоха истребления,2014
"США, Канада",Майкл Бэй,"научно-фантастический, боевик, криптоистория",Трансформеры: Последний рыцарь,2017 7
"Великобритания, Германия, Испания, Литва",Брэд Андерсон,"криминальный фильм, драма",Транссибирский экспресс,2008
США,Майкл Бэй,"научно-фантастический, боевик",Трансформеры 3: Тёмная сторона Луны,2011 4 5 6
США,Стивен Кейпл мл.,"научно-фантастический, боевик",Трансформеры: Восхождение Звероботов,2023
США,Майкл Бэй,"научно-фантастический, боевик",Трансформеры,2007
СССР,Эльдор Уразбаев,"приключенческий фильм, боевик",Транссибирский экспресс,1977
США,"Кэрол Рид, 1",драма,Трапеция,1956
США,"Дэвид Хилленбрэнд, Скотт Хилленбрэнд","комедия, ужасы, пародия",Трансильмания,2009
СР Румыния,Дан Пица,"вестерн, комедия",Трансильванцы на Диком Западе,1981
СССР,Александр Иванов,драма,Транспорт огня,1929
США,"Майкл Бэй, Трэвис Найт, Стивен Кейпл-мл.","научная фантастика, боевик, приключения",Трансформеры,2007
Россия,Владимир Плотников,"боевик, детектив, криминальный фильм",Транзит для дьявола,1999
"Великобритания, Франция",Дэнни Бойл,"детектив, психологический триллер",Транс,2013
США,Дункан Такер,"драма, комедия, приключения",Трансамерика,2005
США,Антонио Негрет,боевик,Транзит,2012
США,Чарльз Чаплин,комедия,Транжиры,1914
"Германия, Франция","Кристиан Петцольд, 2",драматический фильм,Транзит,5 апреля 2018 3 августа 2019 1 марта 2019 11 октября 2018 1
"Япония, Франция","Пьер Жюль Сезар Жансен, 1","документальный фильм, немое кино",Транзит Венеры,9 декабря 1874 1
СССР,Валерий Фокин,драма,Транзит,1982
Россия,Эльдор Уразбаев,комедия,"Трам-тарарам, или Бухты-барахты",1993
США,Джей Роуч,фильм-биография,Трамбо,2015
Великобритания,Фил Барантини,"драматический фильм, 1, фильм-триллер, 1",Точка кипения,2021
СССР,Иван Пырьев,"мелодрама, комедия",Трактористы,1939
США,Элиа Казан,драма,Трамвай «Желание»,1951
Япония,Такэси Китано,"боевик, комедия, криминальная драма",Точка кипения,1990
