country,director,genre,title,year
"Финляндия, Россия",Диана Ринго,антиутопия,1984,2023
США,Тим Салливан,"комедия, фильм ужасов",2001 маньяк,2005
США,Дэвид Марки,документальный,1991: Год прорыва панка,1992
США,Тим Салливан,"комедия, фильм ужасов",2001 маньяк: Территория криков,2010
"США, Италия, Великобритания",Джозеф Сарджент,драма,Авраам: Хранитель веры,1994
СССР,Камиль Ярматов,"Биографический фильм, исторический фильм",Авиценна,1956
Украина,Оксана Байрак,"драма, мелодрама",«Аврора»,2006
США,Энтони Майкл Холл,комедия,Аве Цезарь,1994
США,Ирвин Виллат,"мелодрама, приключения",Авиапочта,1925
"США, Германия",Мартин Скорсезе,"фильм-биография, драма",Авиатор,2004
Израиль,"Шеми Зархин, 1",драматический фильм,"Авива, любовь моя",2006
Польша,Януш Насфетер,"психологическая, драма","Авель, твой брат",1970
Украина,Людмила Ефименко,"драма, мелодрама",Аве Мария,1999
Япония,Акира Куросава,драма,Августовская рапсодия,1991
СССР,Александр Муратов,"киноповесть, драма, социальная драма",Авдотья Павловна,1966
США,Линдсей Андерсон,драма,Августовские киты,1987
США,Джон Уэллс,драма,Август: Графство Осейдж,2013
Великобритания,Энтони Хопкинс,"комедия, драма",Август,1996
Россия,Джаник Файзиев,"военный, боевик, драма",Август. Восьмого,2012
Япония,Сацуо Ямамото,"драма, триллер",Август без императора,1978
США,Кирстен Шеридан,"драма, мелодрама",Август Раш,2007
Польша,Януш Маевский,"фантастика, драма","Аватар, или Замена душ",1964
США,Джеймс Кэмерон,"эпический фильм, научная фантастика, боевик, приключения, фэнтези",Аватар: Огонь и пепел,2025
США,Чарльз Бэнд,Ужасы,Авария!,1976
США,Джеймс Кэмерон,"эпический фильм, научная фантастика, боевик, приключения, фэнтези",Аватар 4,2029
США,Джеймс Кэмерон,"эпический фильм, научная фантастика, боевик, приключения",«Аватар: Путь воды»,2022
Италия,Кармине Галлоне,драма,Аватар,1916
США,Джонатан Мостоу,триллер,Авария,1997
"ЮАР, США, Заир",Джеймс Аллен,детектив,Авария,1990
"США, Великобритания",Джеймс Кэмерон,"эпический фильм, научная фантастика, боевик, 1, драма, приключения, 1",Аватар,2009
Румыния,Серджиу Николаеску,боевик,Авария (Несчастный случай),1976
СССР,Витаутас Жалакявичюс,"детектив, драма",Авария,1974
Россия,Константин Буслов,приключения,Авантюристы,2014
СССР,"Александр Абрамов, Наум Бирман",Детектив,Авария,1965
Польша,Роман Залуски,комедия,Аварийный выход,1982
СССР,Владимир Петров,,Адрес Ленина,1929
США,Виктор Шёстрём,драма,Алая буква,1926
СССР,Михаил Туманишвили,драма,Авария — дочь мента,1989
"ФРГ, Испания",Вим Вендерс,мелодрама,Алая буква,1973
США,"Джозеф В. Смайли, Джордж Лоан Такер",драматический фильм,Алая буква,1911
Аргентина,"Анаи Бернери, 1",драматический фильм,Аланис,21 сентября 2017 22 сентября 2017 2 октября 2017 9 сентября 2017
"Великобритания, Франция",Деклан Лоуни,комедия,Алан Партридж: Альфа Отец,1
США,Тим Бёртон,"приключенческий фильм, комедия, семейный фильм, фэнтези",Аладдин и его волшебная лампа,1986
США,Берт Кеннеди,"драма, боевик",Штурмующие,1987
СССР,Георгий Шенгелая,притча,Алавердоба,1962
США,Джон Ли Хэнкок,"Драма, исторический фильм, военный фильм, вестерн",Аламо,2004
СССР,Владимир Шамшурин,военный фильм,Акция,1987
США,Деклан О’Брайен,"ужасы, фантастика, боевик, комедия",Акулосьминог,2010
США,Энтони Ферранте,"комедийный, научно-фантастический, фильм ужасов, фильм-катастрофа",Акулий торнадо 5: Глобальное роение,2017
США,Энтони Ферранте,"комедийный, научно-фантастический, фильм ужасов, фильм-катастрофа",Акулий торнадо 4: Пробуждение,2016
США,Гай Ричи,"комедия, мюзикл, фэнтези, приключения, мелодрама",Аладдин,2019
"США, Израиль, ЮАР",Боб Мисиоровски,"боевик, фильм ужасов, триллер",Акулы,1999
США,Энтони Ферранте,"комедийный, научно-фантастический, фильм ужасов, фильм-катастрофа",Акулий торнадо 3,2015
"США, 3",Энтони Ферранте,"фильм-катастрофа, ужасы, фантастика, комедия",Акулий торнадо,2013
"Флаг Канады, Флаг Болгарии",Джеффри Скотт Ландо,"Фантастика, комедия, Боевик, Триллер",Акула-робот,2015
СССР,Леонид Трауберг,"мелодрама, комедия, военный фильм",Актриса,1942
"Италия, Франция",Ламберто Бава,"боевик, фильм ужасов, триллер",Акула-монстр,1984
"Канада, США",Бретт Доноху,"боевик, приключенческий фильм",Акты насилия,2018
